(seguindo o Banco de dados)			(audiovisual, bibliográfico, cartográfico, textual...)	(artigo, fotografia...)	(impresso, datilografado, manuscrito, digital...)		(/palavras chave)		Cidade/ Instituição/ em que foi publicado		Orientador; Coorientador	Recorte temporal	Recorte Espacial	Bairro/Local	
36	CIDADE INTERMEDIÁRIA E REDE URBANA: O CASO DE SÃO JOÃO DEL-REI (MG)	Ana Carolina Dias Diório	Textual	Artigo	Digital	Arquitetura	cidade intermediária; rede urbana; REGIC; São João del-Rei	2014	Belo Horizonte (PUC MINAS)	Analisa o padrão de escolha de padrinhos e madrinhas de cativos, tanto crianças quanto adultos, em São João del Rei, entre 1730 e 1850.	Daniela Abritta Cota	2007	São João del- Rei	-	https://drive.google.com/file/d/1LQ5MTY7er3I_Jaw48tuRdjCchoWdsQe2/view?usp=sharing
37	CONFLITOS AMBIENTAIS E A CONSTRUÇÃO DE TERRITÓRIOS URBANOS EM SÃO JOÃO DEL-REI - MG	Eder Jurandir Carneiro	Textual	Artigo	Digital	Filosofia	-	2007	Recife (UFPE)	Apresenta algumas conclusões parciais de uma extensa pesquisa sobre processos de construção de territórios urbanos de classes populares em São João del-Rei.	-	2004-2007	São João del- Rei	São Dimas, Gameleiras, Águas Gerais, 	https://drive.google.com/file/d/1Dxy5R0a-7G-JyWAMYRgy21VGCnQWW4tB/view?usp=sharing
38	CONFLITOS AMBIENTAIS E CONSTRUÇÃO DE UM TERRITÓRIO URBANO: O CASO DO BAIRRO SÃO DIMAS (SÃO JOÃO DEL-REI - MG)	Matheus Alves de Barros	Textual	Artigo	Digital	Filosofia	-	-	São João del-Rei (UFSJ)	Analisa o papel dos conflitos ambientais na construção de territórios urbanos habitados por populações de baixa renda. Busca compreender os processos e lutas que condicionam a trajetória de apropriação e uso das condições naturais que resulta na atual configuração do território em que se localiza o bairro São Dimas, em São João del-Rei, Minas Gerais.	Eder Jurandir Carneiro	-	São João del- Rei	São Dimas 	https://drive.google.com/file/d/1HY6MBHpU2Y-CT9NqP3YPb27onHOHwcmT/view?usp=sharing
39	CONFLITOS AMBIENTAIS E PROCESSOS DE CONSTRUÇÃO DE TERRITÓRIOS URBANOS: O CASO DO BAIRRO SENHOR DOS MONTES (SÃO JOÃO DEL-REI – MG)	Isaac Cassemiro Ribeiro	Textual	Artigo	Digital	Filosofia	 justiça ambiental; Senhor dos Montes; conflitos ambientais; São João del-Rei.	2008	São João del-Rei (UFSJ)	O trabalho apresenta os resultados de um projeto de Iniciação Científica, realizado no âmbito do Núcleo de Investigações em Justiça Ambiental (NINJA) da UFSJ. Em ação conjunta com dois outros projetos, um de extensão e outro de Iniciação Científica Júnior (também realizados pelo NINJA/UFSJ), objetiva-se investigar os processos sócio-históricos, mecanismos de injustiça ambiental e conflitos que determinam a trajetória de construção do território hoje designado como bairro Senhor dos Montes.	Eder Jurandir Carneiro	séc XVIII - 2007	São João del- Rei	Senhor dos Montes	https://drive.google.com/file/d/1D0ayI4-GBFUDGG1ONmF5MHCaWXg4CCpB/view?usp=sharing
40	CONFLITOS URBANOS E ESTRATÉGIAS COTIDIANAS DE RESISTÊNCIA: o processo de formação de um bairro periférico 	Vivian Prado Pereira	Textual	Dissertação	Digital	Arquitetura	conflito; conflito urbano; periferia; resistência; luta de classes.	2015	Rio de Janeiro (UFRJ)	O presente trabalho objetivou realizar uma análise acerca do processo de construção de periferias nas cidades, com foco na ação dos moradores e nos conflitos urbanos por eles protagonizados. Tomou-se como objeto do estudo de caso o histórico de formação e consolidação do bairro São Dimas, localizado na cidade de São João del-Rei, em Minas Gerais, Brasil.	Henri Acslrad; Eder J. Carneiro	-	São João del- Rei	São Dimas	https://drive.google.com/file/d/1_yir7v8OtICrKpUpNABLIaGGUhihwmwU/view?usp=sharing
41	CRESCIMENTO URBANO NA “PEQUENA-MÉDIA” SÃO JOÃO DEL REI, MG: NOTAS PRELIMINARES DE UMA PESQUISA	Ana Carolina Dias Diório 	Textual	Artigo	Digital	Arquitetura	-	2012	-	Este trabalho apresenta algumas constatações preliminares de uma pesquisa em desenvolvimento que busca compreender a dinâmica urbana na cidade de São João Del Rei, Minas Gerais, Brasil.	Daniela Abritta Cota	2002-2012	São João del- Rei	Senhor dos Montes, Vila Nossa Senhora de Fátima, Vila Brasil, Novo Bonfim, São Dimas, Cidade Nova, Águas Gerais e Gameleiras e o Conjunto Habitacional IAPI/JK	https://drive.google.com/file/d/1gVXa9YJPRW_DZVIC0eY3tJ3qT02EqN_j/view?usp=sharing
42	DINÂMICA TERRITORIAL DA PRODUÇÃO IMOBILIÁRIA EM SÃO JOÃO DEL REI/MG ENTRE OS ANOS 2009-2017 	Larissa Cristina Sandim	Textual	Dissertação	Digital	Geografia	planejamento urbano; minha casa minha vida; política  habitacional	2019	São João del-Rei (UFSJ)	A dissertação investiga a dinâmica territorial da produção imobiliária presente na cidade de São João del Rei a partir do ano de 2009, com a criação do Programa Federal Minha Casa Minha Vida (MCMV) por meio da análise dos loteamentos aprovados pela prefeitura no período selecionado.	 Tatiane Marina Pinto de Godoy	2009-2017	São João del- Rei	Matosinhos, Fábricas, Pio XII, Jardim Central, Bom Pastor, Tejuco, Colônia do Marçal, Dom Bosco	https://drive.google.com/file/d/1FaqyQJAmHl66FNWMzK8am1I5QK7YinWf/view?usp=sharing
43	EDUCAÇÃO, EXPANSÃO DAS UNIVERSIDADES FEDERAIS E O PROCESSO DE VALORIZAÇÃO DO ESPAÇO URBANO EM SÃO JOÃO DEL-REI (MG)	Jadna Téssia Oliveira	Textual	Dissertação	Digital	Geografia	valorização imobiliária; São João del-Rei; transformações urbanas	2017	São João del-Rei (UFSJ)	Neste trabalho analisamos o crescimento urbano do município de São João del-Rei, em Minas Gerais, e a valorização do solo urbano no período de ampliação da Universidade Federal de São João del-Rei, a fim de estabelecer quais as áreas da cidade apresentam maior valorização imobiliária e quais as possíveis causas dessa valorização, no que concerne às áreas em questão. Objetivamos entender as mudanças no espaço urbano de São João del-Rei, a ampliação na procura por residências, a falta de sua oferta e o consequente aumento da especulação imobiliária no município referido, ou seja, entender as mudanças nas formas de uso e ocupação do solo na cidade	Márcio Roberto Toledo	2005-2015	São João del- Rei	Centro, Matosinhos, Fábricas, Centro, Tejuco e Colônia do Marçal	https://drive.google.com/file/d/1LItkx1w2x13Vd8LmxUZQObyzN1I2fM7-/view?usp=sharing
44	EDUCAÇÃO, TRABALHO E VIDA NO “CAMPO”: POLÍTICAS PÚBLICAS NO DISTRITO DE RIO DAS MORTES EM SÃO JOÃO DEL-REI/ MG  	Gabriel Max De Oliveira Dias	Textual	Dissertação	Digital	Geografia	sistema de ensino; desenvolvimento territorial; políticas públicas; agricultura familiar camponesa; rural-urbano.	2018	São João del-Rei (UFSJ)	A dissertação tem como tema o sistema público de ensino e as populações do campo e, como problema, as potencialidades deste sistema para a construção do sujeito político capaz de constituir seu território a partir da materialização das relações camponesas no espaço, da participação política e das lutas de resistência.	Ligia Maria Brochado de Aguiar	-	São João del- Rei	Distrito de Rio das Mortes	https://drive.google.com/file/d/1budp0aS25lPU9A7JWPFvBxV5p-coig40/view?usp=sharing
45	ENTRE A PRESERVAÇÃO E O PROGRESSO: O PALIMPSESTO URBANO NA FORMAÇÃO DA PAISAGEM DE SÃO JOÃO DELREI/ MG 	Tatiana Paiva Xavier	Textual	Dissertação 	Digital	Arquitetura e Urbanismo	São João del-Rei; morfologia urbana; paisagem urbana; Escola Inglesa de Morfologia Urbana; tradição e modernidade	2018	Belo Horizonte (UFMG)	A investigação proposta nesta dissertação teve como objetivo verificar a evolução das formas urbanas da cidade de São João del-Rei/MG oriundas das transformações nela ocorridas ao longo dos anos, uma vez que a forma urbana é produto das ações políticas, sociais e econômicas que promovem singularidade à paisagem urbana	Staël de Alvarenga Pereira Costa	Séc XVII - 2017	São João del- Rei	Centro, Fábricas, Matosinhos, Tijuco, Bonfim, Segredo, Senhor dos Montes,  Alto das Mercês, São Geraldo, Bela Vista, Nossa Senhora de Fátima, Jardim América, Vila Santo Antônio, Vila Militar, São Caetano, São José	https://drive.google.com/file/d/1A-Eb3gunlQXq5xdmFevUv297Eo0wsO52/view?usp=sharing
46	ESTRATÉGIAS DE EMPREENDEDORISMO E DESIGUALDADES AMBIENTAIS EM SÃO JOÃO DEL-REI – MG	Dayse de Souza Leite e Dênis Pereira Tavares	Textual	Artigo	Digital	Filosofia	empreendedorismo urbano; conflitos ambientais; justiça ambiental	2008	Brasília (ANPPAS)	O trabalho analisa processos de construção (material e simbólica) de territórios urbanos de classes populares em São João del-Rei (MG). Orienta-se pela hipótese de que a construção desses territórios resulta da interação entre, de um lado, a espacialização urbana das desigualdades socioambientais geradas pela economia de mercado, conservadas e aprofundadas por omissões e ações seletivas do Estado, e, de outro, as lutas e práticas coletivas organizadas pela população para imprimir aos territórios que habitam determinados significados e provimento de serviços de infra-estrutura, conferindo-lhes habitabilidade “urbana”.	Eder Jurandir Carneiro	1995 - 2007	São João del- Rei	Gameleiras, Águas Gerais, São Dimas, Vila Brasil, Novo Bonfim, Cidade Nova, 	https://drive.google.com/file/d/12zT8nuA2fLIsBha6QZBPRtsigIS5OsFk/view?usp=sharing
47	ESTUDO DA BACIA HIDROGRÁFICA DO CÓRREGO SÃO FRANCISCO XAVIER – SÃO JOÃO DEL-REI – MINAS GERAIS: POR MEIO DE MAPEAMENTO TEMÁTICO.	Jaime Jonhy Maus	Textual	TCC	Digital	Geografia	bacia hidrográfica; leis de bacias hidrográficas; análise multicriterial e modelos sínteses	2015	São João del-Rei (UFSJ)	O objetivo desta monografia é apresentar o estudo na Bacia Hidrográfica do Córrego São Francisco Xavier localizado no município de São João del-Rei - MG, que envolveu a geração de uma base de dados cartográficos em meio digital, assim como a geração de modelo síntese por meio da técnica da análise multicriterial.	Silvia Elena Ventorini	-	São João del- Rei	-	https://drive.google.com/file/d/1L8urxApZUvmLToF7orKR1r0alSh2Sz-l/view?usp=sharing
48	FAMÍLIA E POVOAMENTO NA COMARCA DO RIO DAS MORTES: Os “Ribeiro da Silva”, Fronteira, Fortunas e Fazendas (Minas Gerais, séculos XVIII e XIX)	Isaac Cassemiro Ribeiro 	Textual	Dissertação	Digital	História	história da família; comarca do Rio das Mortes; oeste de Minas; cultura material; economia de abastecimento; família “Ribeiro da Silva”	2014	São João del-Rei (UFSJ)	Esta dissertação aborda o papel da família, enquanto instituição, no povoamento de uma região específica da América Portuguesa: a fronteira oeste da comarca do Rio das Mortes, na capitania de Minas Gerais, durante o século XVIII, e a posterior consolidação deste povoamento no decorrer da formação do Estado Imperial Brasileiro ao longo do século XIX.	Marcos Ferreira de Andrade	XVIII e XIX	comarca do Rio das Mortes / São João del- Rei	-	https://drive.google.com/file/d/1T3QeATeTX1JdmXKSHUrGrGfFDbORcpr3/view?usp=sharing
49	FORMAÇÃO URBANA DA CIDADE DE SÃO JOÃO DEL- REI 	Roberto Maldos	Textual	Artigo	Digital	História	 formação urbana; determinações da câmara e vila e cidade	2001	São João del-Rei (UFSJ)	Este estudo tem por objetivo analisar os aspectos de normatização na formação da Vila de São João del-Rei.	-	séc. XVIII, XIX e XX	São João del- Rei	-	https://drive.google.com/file/d/1TjQE1y88x0gcdja8sukMcORdiuadWXEv/view?usp=sharing
50	FORMAÇÕES TERRITORIAIS URBANAS EM SÃO JOÃO DEL-REI MG 	Eder Jurandir Carneiro	Textual	Artigo	Digital	História	territórios urbanos; classes populares; São João del-Rei	2009	Fortaleza (ANPUH)	O trabalho apresenta conclusões parciais de extensa pesquisa sobre processos de construção de territórios urbanos de classes populares em São João del-Rei.	-	2006-2008	São João del- Rei	Cidade Nova, São Dimas, vila Nossa Senhora de Fátima, Conjunto Habitacional IAPI/JK, vila Brasil, Novo Bonfim, Águas Gerais e Gameleiras	https://drive.google.com/file/d/1vKzy8mu0I-0fEbg2_HAfnJbp7HXnMFSH/view?usp=sharing
51	GÊNERO, COTIDIANO E DIREITO À CIDADE: UMA REFLEXÃO PRÁTICA	Daniela Abritta Cota	Textual	Artigo	Digital	Arquitetura e Urbanismo	gênero; cotidiano; direito à cidade; mulheres; São João del-Rei – MG	2020	Belo Horizonte (PUC MINAS)	Objetiva refletir sobre a incorporação prática da perspectiva de gênero em planos e projetos urbanos por meio da aplicação de métodos que permitam incluir, de fato, as experiências cotidianas e as demandas das mulheres em relação à cidade.	-	2019	São João del- Rei	Solar da Serra	https://drive.google.com/file/d/1Ix3nWffuKwjhLbBPQLxB7hmzlcG3P8_R/view?usp=sharing
52	HABITAÇÃO DE INTERESSE SOCIAL E A PRODUÇÃO DO ESPAÇO URBANO EM SÃO JOÃO DEL-REI/MG ENTRE OS ANOS 2006-2016  	Letícia Maria De Paiva	Textual	Dissertação	Digital	Geografia	habitação de interesse social; política habitacional; espaço urbano; capitalismo; São João Del-Rei	2017	São João del-Rei (UFSJ)	A pesquisa analisa as contradições existentes na produção capitalista do espaço urbano e na política de habitação na cidade de São João Del- Rei, a partir do estudo dos empreendimentos imobiliários citados.	Tatiane Marina Pinto de Godoy	2006 - 2016	São João del- Rei	Tijuco e Bonfim	https://drive.google.com/file/d/1WY0uIOkooRGVHMXafz6eE8SFz5vZALRh/view?usp=sharing
53	HABITAÇÃO DE INTERESSE SOCIAL E A PRODUÇÃO DO ESPAÇO URBANO: A EXPERIÊNCIA DE SÃO JOÃO DEL-REI	Letícia Maria de Paiva	Textual	Artigo	Digital	Geografia	habitação de interesse social; política habitacional; espaço urbano; São João Del-Rei	2015	Presidente Prudente (ANPEGE)	Este ensaio bibliográfico é resultado inicial de uma pesquisa de Mestrado, que pretende investigar a produção do espaço urbano da cidade de São João Del-Rei (MG), e cujo objeto de estudo é a Habitação de Interesse Social. Tem por objetivo refletir sobre os impactos dos atuais programas habitacionais no espaço urbano.	-	-	São João del- Rei	-	https://drive.google.com/file/d/1_QtHdNY8hgCLK5LPThNFQx4x8bfm9uy1/view?usp=sharing
54	HABITAÇÃO POPULAR NA CIDADE DE SÃO JOÃO DEL-REI	Letícia Nascimento	Textual	TFG	Digital	Arquitetura e Urbanismo	-	2019	São João del-Rei (UFSJ)	Faz levantamentos sobre os empreendimentos do programa MCMV na cidade de São João del-Rei por meio de entrevista com moradores (acesso, espaços de lazer, privacidade, segurança, etc.). 	Laura Resende Tavares	2018-2019	São João del- Rei	Tejuco	https://drive.google.com/file/d/12Jd-mra4w8yQpfZFRHhEvh3Am0ekWifB/view?usp=sharing
55	HUMANIZAÇÃO HOSPITALAR E SUA INFLUÊNCIA NO QUADRO CLÍNICO DO PACIENTE EM TRATAMENTO DE CÂNCER: UMA PROPOSTA DE COMPLEXO ONCOLÓGICO PARA SÃO JOÃO DEL-REI.	Paulo Vitor da Costa Silvano	Textual	TFG	Digital	Arquitetura e Urbanismo	-	2019	São João del-Rei (UFSJ)	Faz levantamentos sobre o funcionamento da rede de tratamento oncológico em São João del-Rei.	Laura Resende Tavares	2018-2019	São João del- Rei	Centro e Colônia do Marçal	https://drive.google.com/file/d/1El_JsWAVfAsCOGpFjDxZblva5p5rCfkm/view?usp=sharing
56	JUVENTUDE NEGRA PERIFÉRICA E DIREITO À CIDADE: UM ESTUDO DE CASO   	Daniel Victor Gouveia Lage	Textual	Artigo	Digital	Arquitetura e Urbanismo	vivência urbana; juventude negra periférica; direito à cidade; planejamento insurgente	2019	Belo Horizonte (PUC MINAS)	Busca refletir sobre alternativas de planejamento urbano, a partir da percepção de jovens negros da periferia de São João del-Rei, MG	Daniela Abritta Cota	2010-2018	São João del- Rei	 Senhor dos Montes, Tijuco, Centro e Jardim Central	https://drive.google.com/file/d/1Qk4u6b_FQZ0P2teidaKLONXvd28JdovJ/view?usp=sharing
57	LAZER EM SÃO JOÃO DEL-REI: ASPECTOS HISTÓRiCOS, CONCEITUAIS E POLÍTICOS 	 Kleber do Sacramento Adão	Textual	Livro	Digital	Educação Física	-	2011	São João del-Rei (UFSJ)	São várias as formas de construção teórica e prática do Lazer em São João del-Rei. Neste livro optamos por oferecer ao leitor um panorama amplo e crítico da questão.	Renato Sampaio Sadi	séc XVIII - 2010	São João del- Rei	Fábricas, Matozinhos, Águas Férreas, Tejuco 	https://drive.google.com/file/d/1UKSSHnQxWoxId5ihN9z2YhekDvC0iBvV/view?usp=sharing
58	LEITURAS DE SÃO JOÃO DEL-REI/MG: EXPERIÊNCIAS ESPAÇOTEMPORAIS DA MODERNIDADE	Denis Pereira Tavares	Textual	Artigo	Digital	História	São João del-Rei; modernidade; espaço; tempo 	2011	Natal (UFRN)	Pretendemos neste trabalho atentar para as formas de consciência do espaço, isto é, para as “leituras”, reflexões e interpretações que os atores sociais passados fizeram da cidade de São João del-Rei/MG, ao longo da primeira metade do século XX, numa conjuntura de transformações aceleradas na sua estrutura urbana. Procuramos, nessa perspectiva, construir uma interpretação das representações espaciais no intuito de apreender tanto as formas como a cidade é representada, percebida, pensada e projetada, quanto às práticas, condutas, atuações e as experiências temporais dos grupos sociais nesse espaço.	-	primeira metade do séc XX	São João del- Rei	-	https://drive.google.com/file/d/1trk7KzO_mSrQkkyJ6DBEnQ0r-tVg6hNh/view?usp=sharing
59	LEVANTAMENTO E REGIONALIZAÇÃO DA FRAGILIDADE AMBIENTAL E VULNERABILIDADE A PROCESSOS EROSIVOS NA BACIA DO RIO DAS MORTES-MG	Ludimila Ferreira Castro	Textual	Dissertação	Digital	Geografia	vulnerabilidade erosiva; fragilidade ambiental; geomorfologia; processos erosivos	2019	São João del-Rei (UFSJ)	A finalidade deste estudo é de realizar a análise da fragilidade ambiental e vulnerabilidade à processos erosivos na Bacia do rio das Mortes-MG, que se localiza na mesorregião do Campo das Vertentes no estado de Minas Gerais. A sua importância justifica-se pela carência de dados em relação aos dados físicos e ambientais que compõem a bacia e de estudos sobre fragilidade ambiental que tenham como foco os processos erosivos	André Batista de Negreiros	2017-2019	mesorregião do Campo das vertentes e Centro Oeste de Minas Gerais	-	https://drive.google.com/file/d/19sO0IyOtuSEXDWSB7dFd0xsM7mnRzIx6/view?usp=sharing
60	LUGAR DE CONSUMO OU CONSUMO DE LUGAR? A PRODUÇÃO SOCIAL DO ESPAÇO URBANO E OS PROCESSOS DE RESSIGNIFICAÇÃO DA RUA DA ZONA EM SÃO JOÃO DEL-REI / MG	Thais de Almeida Gonçalves	Textual	Dissertação	Digital	Interdisciplinar (Artes, Urbanidades e Sustentabilidade)	produção do espaço urbano; consumo do/no espaço; urbanidades; São João del-Rei (MG); Rua da Zona	2019	São João del-Rei (UFSJ)	Tendo como objeto de pesquisa a ressignificação das espacialidades urbanas em São João del-Rei, mais precisamente da Rua Marechal Bitencourt, analisa-se a dinâmica social urbana local e a sua relação com a materialidade da cidade, na busca pelo entendimento desses processos e de que forma podem se refletir em escala global. 	 Paulo Henrique Caetano; Márcia Saeko Hirata	-	Rua Marechal Bitencourt	Centro histórico	https://drive.google.com/file/d/1Ei8hgZf2vpfur2z714nec-L4BXAd8oEI/view?usp=sharing
61	MAPEAMENTO DA VULNERABILIDADE SOCIAL ANTES E DEPOIS DA OCORRÊNCIA DE DESASTRE EM ÁREA URBANA DA BACIA DO CÓRREGO DO LENHEIRO	Thiago Gonçalves Santos	Textual	Artigo	Digital	Geografia	desastre humano de natureza; análise multicritério Mapas temáticos	2019	Uberlândia (UFU)	O objetivo deste artigo é apresentar a pesquisa para mapear áreas suscetíveis às enchentes e aos alagamentos, assim como o grau de vulnerabilidade social da população residente em área urbana inserida na Bacia do Córrego do Lenheiro, localizada no município de São João del- Rei – MG. Materiais e métodos	Silvia Elena Ventorini	-	São João del- Rei	-	https://drive.google.com/file/d/1g_FsAtl5G6hk2LAjzNBTmbQHbkczzTO-/view?usp=sharing
62	MAPEAMENTO DE ÁREAS SUSCETÍVEIS AOS DESASTRES HUMANOS DE NATUREZA NA BACIA DO CÓRREGO DO LENHEIRO, MINAS GERAIS, BRASIL	Thiago Gonçalves Santos	Textual	Artigo	Digital	Geografia	cartografia digital; planejamento urbano; inundações	2018	Colômbia (ULA)	No Brasil, os desastres naturais não ocasionam danos significativos à população. Os prejuízos socioeconômicos e os óbitos são gerados por desastres humanos de natureza. Neste artigo apresenta-se o mapeamento dos fatores que tornam áreas suscetíveis a esses desastres na bacia do córrego do Lenheiro, localizada no município de São João del - Rei, Minas Gerais, Brasil.	Silvia Elena Ventorini	-	São João del-Rei	-	https://drive.google.com/file/d/1tULWe3kih8pGZbCnbbWn1dK1m73NWer8/view?usp=sharing
63	MINHA CASA ... E A VIDA? IMPACTOS SOCIOESPACIAIS A PARTIR DA ANÁLISE DE UM EMPREENDIMENTO DO PROGRAMA MINHA CASA, MINHA VIDA EM SÃO JOÃO DEL REI, MG.  	Ana Luiza Aureliano Silva	Textual	Dissertação	Digital	Geografia	programa “Minha casa, Minha vida”; produção do espaço urbano; apropriação do espaço; impactos socioespaciais; São João del Rei – MG	2018	São João del-Rei (UFSJ)	A pesquisa objetiva realizar uma análise socioespacial de um empreendimento destinado à Faixa 1 do PMCMV, em uma cidade intermediária (São João del Rei). Busca compreender as dinâmicas espaciais envolvidas nas atividades e necessidades do cotidiano das famílias contempladas e de que maneira se dá a apropriação desse espaço concebido sob a ótica dos interesses capitalistas.	 Daniela Abritta Cota	1940-2009	São João del- Rei	Tejuco	https://drive.google.com/file/d/1oVrYzgv6-CPC1khW7lgYxOTFg_AJf_yE/view?usp=sharing
64	MOBILIDADE URBANA NO CENTRO HISTÓRICO DE SÃO JOÃO DEL-REI: O PEDESTRE NAS VIAS DE ENTORNO DO CÓRREGO DO LENHEIROS	Letícia Fernandes Mendes Nunes	Textual	TFG	Digital	Arquitetura e Urbanismo	-	2018	São João del-Rei (UFSJ)	Realiza diagnóstico e análise da situação do pedestre no centro histórico da cidade e apresenta proposta de intervenção para a melhoria da mobilidade urbana	Alba Bispo	2018	São João del- Rei	Centro	https://drive.google.com/file/d/1tP2pJT4XQrj4iaKrP7S-Tv2SY6GZgWJY/view?usp=sharing
65	MORADIA COMO ELEMENTO ESTRUTURADOR DA QUALIDADE DE VIDA NA TERCEIRA IDADE: proposição projetual para idosos ativos do município de São João del – MG.	Anne Elize Resende, Anna Sophia Barbosa Baracho 	Textual	Dissertação	Digital	Arquitetura e Urbanismo	moradia; idoso ativo; qualidade de vida	2016	Belo Horizonte (UFMG)	Este artigo propõe um projeto arquitetônico, promotor de um espaço adequado e acessível para moradia dos idosos ativos da cidade de SJDR e da região das Vertentes. O município de SJDR e região não está preparado para acolher pessoas com idades avançadas, sobretudo as mais ativas, que procuram atividades de lazer, segurança, conforto, ambientes e moradias adequadas às suas necessidades físicas e mentais, específicas desta faixa etária.	-	-	São João del- Rei	Colônia do Marçal	https://drive.google.com/file/d/16pZqdEqXi4Vd7x1o2nD06QhOY3FsCNKY/view?usp=sharing
66	NOTAS SOBRE UMA EXPERIÊNCIA DE EXTENSÃO NOS BAIRROS GAMELEIRAS E ÁGUAS GERAIS – SÃO JOÃO DEL-REI/MG	Lucas Henrique Pinto	Textual	Artigo	Digital	Filosofia	-	2007	São João del-Rei (UFSJ)	O presente artigo apresenta os resultados finais das atividades de extensão e pesquisa desenvolvidas, de abril a dezembro de 2006, nos bairros Águas gerais e Gameleiras, no âmbito do programa de extensão “Cidadania e justiça ambiental: ações de mobilização comunitária em São João del-Rei – Minas Gerais”.	Eder Jurandir Carneiro	2006	São João del- Rei	Águas Gerais e Gameleiras	https://drive.google.com/file/d/1WpXqQxiwx_P6eY4ySP1Niyy_xClMn36e/view?usp=sharing
67	NOTAS SOBRE UMA EXPERIÊNCIA DE EXTENSÃO UNIVERSITÁRIA: JUSTIÇA AMBIENTAL E A COMUNIDADE DO BAIRRO SÃO DIMAS (SÃO JOÃO DEL-REI/MG)	Luiz Felipe Martins Candido	Textual	Artigo	Digital	Filosofia	-	2006	São João del-Rei (UFSJ)	Este artigo busca trazer a público os resultados parciais das ações de mobilização comunitária realizadas no bairro São Dimas, em São João Del-Rei, Minas Gerais, pelo projeto de extensão universitária “Cidadania e Justiça ambiental: ações de mobilização comunitária no bairro São Dimas”, iniciado em meados do ano de 2004 e que, desde então, conta com bolsa e apoio da Pró-Reitoria de Extensão da Universidade Federal de São João del-Rei (UFSJ).	Eder Jurandir Carneiro	2004 - 2006	São João del- Rei	São Dimas	https://drive.google.com/file/d/1GICYp5jgK-mIbA0xBlqR3WMV403Z-DAm/view?usp=sharing
68	O “FRONT INTERNO” SÃO-JOANENSE DURANTE A SEGUNDA GUERRA MUNDIAL (1939-1945). 	Thiago Henrique Carvalho Davin	Textual	Dissertação	Digital	História	São João Del Rei; imigrantes; segunda guerra mundial; imprensa	2017	São João del-Rei (UFSJ)	A presente monografia propõe estudar o impacto socioeconômico e político que a Segunda Guerra Mundial promoveu na cidade de São João Del Rei.	Marcos Ferreira de Andrade	1939-1945	São João del- Rei	-	https://drive.google.com/file/d/1N-048HT1ziZ00HoCeLZuAA-XxGIiitjc/view?usp=sharing
69	O BARROCO NAS ASAS DA MODERNIDADE - COMPETIÇÃO INTERLOCAL E ARTICULAÇÃO DE ELITES NA CIDADE MINEIRA DE SÃO JOÃO DEL-REI: AEROPORTO, SHOPPING CENTER E “REVITALIZAÇÃO” DO CENTRO HISTÓRICO*  	Dayse de Souza Leite 	Textual	Artigo	Digital	Filosofia	-	-	São João del-Rei (UFSJ)	O trabalho pretende analisar o atual esforço de reconfiguração material e simbólica do território urbano sanjoanense, recentemente encetado pelas elites econômicas e políticas locais, examinando suas singularidades e similitudes em face às características típicas de iniciativas do chamado empreendedorismo urbano, que têm tido lugar em várias outras cidades do Brasil e do mundo.	Eder Jurandir Carneiro	2007 -2008 	São João del- Rei	 AEROPORTO, SHOPPING CENTER e Centro Histórico	https://drive.google.com/file/d/1sFBDwvfok5R03X7FLLP-CyIiGMO2RLrR/view?usp=sharing
70	O ESPAÇO COMO ESTÍMULO PARA PESSOAS COM DIVERSIDADE FUNCIONAL: REQUALIFICAÇÃO DA APAE SÃO JOÃO DEL-REI	Mariana Silva Pereira	Textual	TFG	Digital	Arquitetura	-	2018	São João del-Rei (UFSJ)	Faz levantamento das dependências, do funcionamento, das atividades e das parcerias da APAE. Entrevista mães e usuários da Associação. 	Anna Sophia Barbosa Baracho	2016-2018	São João del- Rei	Fábricas	https://drive.google.com/file/d/1H-aIAyN3RlFkqQDjaaXADXMXv8P-fyRy/view?usp=sharing
71	O PASSADO NO PRESENTE: A IMPORTÂNCIA DA EDUCAÇÃO PATRIMONIAL E DO ARQUEOTURISMO PARA A PRESERVAÇÃO DO PATRIMÔNIO ARQUEOLÓGICO DA “ESTRADA REAL”	Patricia Palma Santos	Textual	Dissertação	Digital	História	estrada real; turismo arqueológico; arte rupestre; comunidade; arqueologia comunitária; educação patrimonial; arqueologia pública; musealização in situ	2015	São João del-Rei (UFSJ)	A presente dissertação tem como principal objetivo diagnosticar as realidades locais dos sítios arqueológicos de Andrelândia e São João del-Rei, visando a entender as relações das comunidades do entorno imediato e dos representantes do poder público local com o patrimônio arqueológico, ou seja, como os indivíduos percebem e se relacionam com tal patrimônio, atentando para o fato de que se existe uma apropriação desses lugares de memória e quais significados atribuem a eles.	Maria Leônia Chaves de Resende	séc XVIII - 1970	Andrelândia e São João del- Rei	-	https://drive.google.com/file/d/12UkbJh3b06-x7QGF3Q--mmKPa3Kpw9U1/view?usp=sharing
